property_id,property_type,market,acquisition_date,hold_years,acquisition_price,going_in_cap_rate,going_in_noi,current_revenue,current_noi,noi_margin,occupancy_pct,same_property_noi_growth_pct,current_cap_rate,implied_current_value,leverage_pct,debt_balance,interest_rate_pct,interest_coverage,annual_capex,equity_invested,cash_on_cash_pct,irr_pct,equity_multiple,recommendation,cluster,segment,next_year_noi_growth_pct_actual,predicted_next_year_noi_growth_pct,value_captured_pctile,forward_growth_pctile,value_creation_score
P0001,Multifamily,Atlanta,2023-08-10,2.4,23160528.0,0.0535,1239926.0,2641477.0,1450387.0,0.5491,100.0,6.76,0.0498,29132853.0,0.6708,15535080.0,6.11,1.53,98415.0,7625449.0,5.28,35.32,1.81,Sell,0,Value-Add Opportunity,6.13,6.2,78.0,99.0,88.5
P0002,Mixed-Use,Seattle,2024-05-30,1.6,22127300.0,0.0709,1568740.0,3157882.0,1679865.0,0.532,82.1,4.39,0.0637,26359601.0,0.6561,14518440.0,5.34,2.17,139237.0,7608860.0,10.06,31.13,1.69,Hold,0,Value-Add Opportunity,3.34,3.33,92.0,59.599999999999994,75.8
P0003,Industrial,New York,2021-05-18,4.6,55791674.0,0.068,3793435.0,7980675.0,4339230.0,0.5437,99.0,2.95,0.0638,68011703.0,0.5751,32085585.0,5.77,2.34,363183.0,23706089.0,8.96,15.66,1.91,Hold,3,Core Stabilized,4.08,4.03,82.0,73.6,77.8
P0004,Retail,Chicago,2021-11-03,4.2,27971654.0,0.0741,2072314.0,3303380.0,2256635.0,0.6831,99.4,2.07,0.0778,28989777.0,0.6502,18188137.0,6.65,1.87,21824.0,9783517.0,10.48,11.43,1.46,Hold,1,Mature / Harvest Candidate,4.34,3.52,49.8,63.800000000000004,56.8
P0005,Office,Los Angeles,2020-01-01,6.0,44820973.0,0.067,3000977.0,4775092.0,2828798.0,0.5924,73.3,-0.98,0.0876,32298781.0,0.676,30300262.0,6.18,1.51,213558.0,14520710.0,5.1,-18.79,0.4,Reposition,2,Distressed / Turnaround,-1.43,-1.17,0.8,8.0,4.4
P0006,Office,Austin,2020-01-18,6.0,94314464.0,0.0703,6632432.0,5902055.0,4414205.0,0.7479,74.6,-6.6,0.0873,50549326.0,0.6728,63454808.0,6.57,1.06,184176.0,30859656.0,0.2,,-0.44,Reposition,2,Distressed / Turnaround,-4.52,-3.81,2.8000000000000003,0.8,1.8
P0007,Office,Miami,2018-03-07,7.8,46774896.0,0.0743,3473087.0,4963398.0,2937278.0,0.5918,71.9,-2.12,0.0883,33272211.0,0.7032,32893226.0,7.68,1.16,174402.0,13881669.0,1.7,-37.29,0.12,Reposition,2,Distressed / Turnaround,0.48,-1.41,6.4,6.0,6.2
P0008,Hospitality,Phoenix,2021-09-14,4.3,35755035.0,0.0822,2937510.0,4627420.0,2911700.0,0.6292,62.9,-0.2,0.0906,32121126.0,0.6696,23940901.0,4.85,2.51,341840.0,11814133.0,11.93,3.32,1.12,Reposition,2,Distressed / Turnaround,1.45,1.08,23.799999999999997,25.2,24.5
P0009,Industrial,Miami,2018-12-10,7.1,51398854.0,0.0611,3140776.0,4832247.0,3368586.0,0.6971,90.5,1.0,0.0563,59842798.0,0.6446,33131772.0,7.39,1.38,96016.0,18267082.0,4.5,8.84,1.71,Hold,1,Mature / Harvest Candidate,1.44,0.54,83.8,21.0,52.4
P0010,Industrial,Chicago,2024-10-03,1.2,31422018.0,0.0536,1685651.0,2422073.0,1744631.0,0.7203,86.4,2.8,0.061,28622333.0,0.6949,21835491.0,6.18,1.29,148386.0,9586527.0,2.57,-32.61,0.67,Sell,1,Mature / Harvest Candidate,3.85,2.58,28.199999999999996,45.0,36.6
P0011,Office,Denver,2023-01-19,3.0,26790287.0,0.0791,2119664.0,3198345.0,2312644.0,0.7231,76.2,2.99,0.0919,25164566.0,0.6181,16560242.0,5.38,2.6,126081.0,10230045.0,12.66,6.13,1.17,Hold,1,Mature / Harvest Candidate,0.43,1.59,9.6,33.0,21.3
